label_name,feature_type,C,tol,train_f1_score,val_f1_score
positions,scaled,1.0,0.001,0.9995643095399525,0.3573618551202114
positions,scaled,1.0,0.01,0.9995643095399525,0.3573618551202114
positions,scaled,1.0,0.1,0.9995643095399525,0.3578374707743985
positions,original,0.1,0.0001,0.09112463100031773,0.11140198419426028
positions,original,0.1,0.001,0.09112463100031773,0.11140198419426028
positions,original,0.1,0.01,0.09112463100031773,0.11140198419426028
positions,original,0.1,0.1,0.09112463100031773,0.11140198419426028
positions,original,0.25,0.0001,0.09112463100031773,0.11140198419426028
positions,original,0.25,0.001,0.09112463100031773,0.11140198419426028
positions,original,0.25,0.01,0.09112463100031773,0.11140198419426028
positions,original,0.25,0.1,0.09112463100031773,0.11140198419426028
positions,original,0.5,0.0001,0.10005750586512045,0.11140198419426028
positions,original,0.5,0.001,0.10005750586512045,0.11140198419426028
positions,original,0.5,0.01,0.10005750586512045,0.11140198419426028
positions,original,0.5,0.1,0.10057292759693856,0.11140198419426028
positions,original,0.75,0.0001,0.1290611656701953,0.11612592226447167
positions,original,0.75,0.001,0.1290611656701953,0.11612592226447167
positions,original,0.75,0.01,0.1290611656701953,0.11612592226447167
positions,original,0.75,0.1,0.12681914594078997,0.12101409827066009
positions,original,1.0,0.0001,0.15938722471637398,0.12153981479016544
positions,original,1.0,0.001,0.15938722471637398,0.12153981479016544
positions,original,1.0,0.01,0.15938722471637398,0.12153981479016544
positions,original,1.0,0.1,0.157249397445925,0.12508615608931573
positions,minmax,0.1,0.0001,0.20174891331019965,0.14963581891627373
positions,minmax,0.1,0.001,0.20174891331019965,0.14963581891627373
positions,minmax,0.1,0.01,0.2032752863089653,0.14963581891627373
positions,minmax,0.1,0.1,0.2030859176567677,0.14963581891627373
positions,minmax,0.25,0.0001,0.3406594920502163,0.20790495801236747
positions,minmax,0.25,0.001,0.3406594920502163,0.20790495801236747
positions,minmax,0.25,0.01,0.3406594920502163,0.20790495801236747
positions,minmax,0.25,0.1,0.3421532351535303,0.20790495801236747
positions,minmax,0.5,0.0001,0.4312973267487571,0.2607192198455796
positions,minmax,0.5,0.001,0.4312973267487571,0.2607192198455796
positions,minmax,0.5,0.01,0.4312973267487571,0.2607192198455796
positions,minmax,0.5,0.1,0.4315852355782422,0.2607192198455796
positions,minmax,0.75,0.0001,0.4806761556357865,0.26841679231336535
positions,minmax,0.75,0.001,0.4806761556357865,0.26841679231336535
positions,minmax,0.75,0.01,0.4816148670619323,0.26841679231336535
positions,minmax,0.75,0.1,0.4842281355005847,0.271868230856096
positions,minmax,1.0,0.0001,0.5132195878702037,0.28462020673296284
