label_name,feature_type,kernel,C,tol,train_f1_score,val_f1_score
coalitions,scaled,rbf,0.25,0.1,0.20914778218138602,0.18375967642765115
coalitions,scaled,sigmoid,0.25,0.1,0.20633653600635743,0.18869330232120665
coalitions,scaled,linear,0.5,0.0001,1.0,0.45572547076049663
coalitions,scaled,poly,0.5,0.0001,0.2957238455686328,0.13949379713948915
coalitions,scaled,rbf,0.5,0.0001,0.23754950382298504,0.2020614422445887
coalitions,scaled,sigmoid,0.5,0.0001,0.2195330579731336,0.20385868822424066
coalitions,scaled,linear,0.5,0.001,1.0,0.45572547076049663
coalitions,scaled,poly,0.5,0.001,0.2957238455686328,0.13949379713948915
coalitions,scaled,rbf,0.5,0.001,0.23754950382298504,0.2020614422445887
coalitions,scaled,sigmoid,0.5,0.001,0.21952967959215508,0.20385868822424066
coalitions,scaled,linear,0.5,0.01,1.0,0.45572547076049663
coalitions,scaled,poly,0.5,0.01,0.2955720306343488,0.13949379713948915
coalitions,scaled,rbf,0.5,0.01,0.23754950382298504,0.2020614422445887
coalitions,scaled,sigmoid,0.5,0.01,0.21939222499979244,0.20460650508147998
coalitions,scaled,linear,0.5,0.1,1.0,0.4600451312970494
coalitions,scaled,poly,0.5,0.1,0.29496349483990014,0.13949536203831434
coalitions,scaled,rbf,0.5,0.1,0.23761407451877328,0.2012772027840292
coalitions,scaled,sigmoid,0.5,0.1,0.21803848368252132,0.2074304939723226
coalitions,scaled,linear,0.75,0.0001,1.0,0.454123640096881
coalitions,scaled,poly,0.75,0.0001,0.37852675311630934,0.15815660490448577
coalitions,scaled,rbf,0.75,0.0001,0.2749787990809117,0.2145196956600787
coalitions,scaled,sigmoid,0.75,0.0001,0.2220358830485422,0.21237858570759602
coalitions,scaled,linear,0.75,0.001,1.0,0.454123640096881
coalitions,scaled,poly,0.75,0.001,0.37852675311630934,0.15815660490448577
coalitions,scaled,rbf,0.75,0.001,0.2749787990809117,0.2145196956600787
coalitions,scaled,sigmoid,0.75,0.001,0.22187871590050118,0.21237858570759602
coalitions,scaled,linear,0.75,0.01,1.0,0.454123640096881
coalitions,scaled,poly,0.75,0.01,0.3783585403299481,0.15815660490448577
coalitions,scaled,rbf,0.75,0.01,0.2749768493073583,0.2145196956600787
coalitions,scaled,sigmoid,0.75,0.01,0.22203391025645564,0.21318125798085652
coalitions,scaled,linear,0.75,0.1,1.0,0.4591325747339622
coalitions,scaled,poly,0.75,0.1,0.378027884392259,0.15829869072432096
coalitions,scaled,rbf,0.75,0.1,0.2758508881464608,0.2147066860627424
coalitions,scaled,sigmoid,0.75,0.1,0.22040209810302072,0.21079966885565032
coalitions,scaled,linear,1.0,0.0001,1.0,0.454123640096881
coalitions,scaled,poly,1.0,0.0001,0.47567776216247326,0.17494745969535214
coalitions,scaled,rbf,1.0,0.0001,0.36562821914703747,0.22283379310258972
coalitions,scaled,sigmoid,1.0,0.0001,0.22380716405123105,0.21543240537529354
coalitions,scaled,linear,1.0,0.001,1.0,0.454123640096881
coalitions,scaled,poly,1.0,0.001,0.47567776216247326,0.17494745969535214
coalitions,scaled,rbf,1.0,0.001,0.36562821914703747,0.22283379310258972
